일시,최저기온(°C),최고기온(°C),강수량,최대 풍속(m/s),최다풍향,평균 이슬점온도(°C),평균 상대습도(%),평균 현지기압(hPa),평균가격(원)
2020-03-17,1.7,9.7,0.1,9.1,290.0,-0.8,63.8,990.1,27620.07806148666
2020-03-18,-2.1,17.7,0.866666667,5.1,320.0,-2.2,52.5,988.6,22338.04744931309
2020-03-19,-0.5,15.4,1.633333333,11.2,290.0,-3.5,51.4,980.9,27015.6729061732
2020-03-20,4.3,15.6,2.4,10.9,290.0,-5.9,35.5,987.6,25972.43574247971
2020-03-21,3.1,22.7,3.166666667,8.5,270.0,1.2,42.5,985.9,24750.40774897172
2020-03-23,-0.5,16.5,4.7,8.2,290.0,-1.9,56.1,991.8,27231.19423223838
2020-03-24,-1.8,16.8,5.466666667,4.4,160.0,-1.5,56.5,995.5,28522.22132405739
2020-03-25,-0.5,19.4,6.233333333,3.5,140.0,0.1,55.4,995.7,23924.87669728003
2020-03-26,3.5,20.7,7.0,4.8,180.0,6.0,70.6,991.7,28915.86667468297
2020-03-27,7.5,16.7,4.3,8.5,290.0,9.1,83.0,987.2,28301.79541488823
2020-03-28,2.1,11.5,4.03125,6.6,320.0,-0.3,60.9,994.7,26302.94086689124
2020-03-30,0.6,17.1,3.49375,3.6,320.0,1.5,64.9,995.4,33300.4704624712
2020-03-31,0.0,19.5,3.225,3.9,320.0,0.4,52.9,991.9,34607.83789372654
2020-04-01,5.5,19.0,2.95625,7.6,290.0,-0.7,45.3,987.9,32249.93837811653
2020-04-02,0.0,17.1,2.6875,7.0,320.0,-5.8,39.9,995.6,35640.46467000089
2020-04-03,3.1,17.6,2.41875,6.7,290.0,-8.2,26.1,994.5,31852.26435742067
2020-04-04,0.7,15.3,2.15,9.2,320.0,-3.5,44.1,992.6,31392.18963904913
2020-04-06,-3.5,17.3,1.6125,6.1,320.0,-6.8,38.6,994.3,35476.67716461287
2020-04-07,4.5,18.1,1.34375,7.9,320.0,-1.5,39.0,989.4,32984.25493490192
2020-04-08,2.3,15.0,1.075,8.3,290.0,-6.9,37.0,991.7,35730.22564600866
2020-04-09,-1.1,15.4,0.80625,7.4,320.0,-2.9,54.6,996.4,34835.2633409716
2020-04-10,4.0,14.2,0.5375,3.1,320.0,-0.9,51.5,999.7,33172.12624053774
2020-04-11,1.9,14.3,0.26875,3.6,320.0,-0.7,51.6,993.8,37097.90384773022
2020-04-13,1.3,16.5,2.06,6.8,340.0,-4.9,41.1,988.1,33812.82017004592
2020-04-14,-2.3,21.0,4.12,8.2,320.0,-7.4,33.9,990.6,35957.77932480325
2020-04-15,2.2,21.4,6.18,7.5,140.0,-2.3,38.4,989.3,39692.48714978073
2020-04-16,3.6,20.0,8.24,3.9,320.0,2.9,58.5,994.2,38674.95879129517
2020-04-17,6.6,11.9,10.3,2.8,320.0,6.9,87.9,989.8,42452.94719076265
2020-04-18,5.3,16.7,1.0,7.0,320.0,6.0,72.5,990.6,30286.66666666666
2020-04-20,8.0,15.5,0.0,9.7,290.0,5.1,71.0,984.7,41367.77299700537
2020-04-21,3.7,12.8,0.0,11.3,290.0,-3.9,46.0,987.3,46073.90146310724
2020-04-22,3.5,9.5,0.0,11.1,290.0,-5.2,45.1,988.9,43795.67820905868
2020-04-23,3.6,13.4,0.0,9.9,290.0,-4.9,43.0,989.3,38846.72708858112
2020-04-24,4.3,16.3,0.0,8.7,320.0,-4.4,41.0,988.3,42509.61164731094
2020-04-25,0.7,22.5,0.0,6.9,320.0,0.6,49.0,985.0,26031.24241480362
2020-04-27,2.1,17.2,0.0,7.5,320.0,0.8,58.9,994.5,42723.73467638711
2020-04-28,1.2,20.2,0.0,8.3,320.0,-1.1,46.8,994.2,46555.51645842203
2020-04-29,6.3,23.5,0.0,7.1,290.0,1.7,41.1,993.7,44359.52565063594
2020-04-30,8.7,25.3,0.0,6.7,320.0,4.9,42.1,990.6,42524.43147514096
2020-05-01,12.1,30.0,0.0,5.7,320.0,12.2,57.8,988.1,41626.8731846876
2020-05-02,19.5,26.4,0.0,7.7,320.0,14.8,63.1,986.5,36086.17081299533
2020-05-04,13.0,26.5,3.65,6.3,290.0,13.5,73.5,983.6,43483.22247199852
2020-05-05,10.2,19.6,2.5,3.0,320.0,11.4,81.9,987.8,49149.35110683404
2020-05-06,7.9,26.0,2.5,5.3,160.0,8.2,68.1,990.1,55613.56696735789
2020-05-07,5.6,23.0,2.5,4.6,160.0,3.0,52.8,994.9,43237.02533601552
2020-05-08,6.8,23.2,2.5,4.5,160.0,4.9,51.3,991.4,47843.67565959568
2020-05-09,13.3,15.3,57.2,2.0,110.0,14.4,99.3,982.7,30389.58031487583
2020-05-11,11.2,23.6,0.0,9.3,320.0,7.2,52.9,982.4,44069.82864877975
2020-05-12,12.7,22.0,0.2,7.5,290.0,6.7,54.6,979.8,49419.73642931489
2020-05-13,10.8,22.4,11.63333333,9.5,290.0,3.4,44.6,990.1,51739.07514100026
